track,artist,year,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,valence,charted,weeks-on-board
Starka strömmar av liv,Ingmar Johánsson,2011.0,0.129,0.5329999999999999,234240.0,0.687,D,0.0742,-7.896,0.0431,82.02600000000002,0.438,False,0
Te Empeliculaste - En Vivo,Explosión De Iquitos,2018.0,0.57,0.647,258005.0,0.87,D#/Eb,0.251,-6.671,0.133,147.10399999999996,0.833,False,0
Trust In The Wind (FSOE 468),Eco,2016.0,0.0145,0.534,334559.0,0.935,D,0.13,-4.974,0.136,136.987,0.258,False,0
Stay Up Xfs Uplifting,DJ Power Tool,2013.0,0.00607,0.52,75591.0,0.845,D,0.388,-6.523,0.0424,127.04,0.0365,False,0
No Smoking (with Yjoon),Do&Be Sound,2017.0,0.899,0.775,175649.0,0.214,C#/Db,0.104,-16.327,0.0484,113.955,0.48,False,0
XFYLES - Dubriders Remix,Vector 7,2018.0,0.00014,0.804,378705.0,0.5820000000000001,F,0.0874,-11.962,0.0519,122.0,0.515,False,0
Pamyati caravana PQ17 (Памяти каравана PQ17),Aleksandеr Gorodnitsky,2013.0,0.935,0.5529999999999999,150840.0,0.194,F#/Gb,0.114,-14.547,0.275,137.304,0.657,False,0
Cleyra Settlement - Final Fantasy IX,Erutan,2013.0,0.931,0.534,195358.0,0.192,F,0.118,-17.627,0.0334,78.86,0.121,False,0
"Swan Lake - Ballet in four acts Op. 20, ACT 1: No. 7 - Sujet",Pyotr Ilyich Tchaikovsky,2010.0,0.974,0.414,33000.0,0.00667,E,0.203,-36.126,0.0356,61.024,0.267,False,0
LK Sau Lần Hẹn Cuối - Người Đã Như Mơ,Quỳnh Trang,2017.0,0.602,0.4320000000000001,325575.0,0.63,E,0.297,-7.899,0.0383,159.86700000000005,0.397,False,0
Kapitel 03: Das Klappbett (GNG Folge 21),Benjamin Blümchen,2015.0,0.623,0.7340000000000001,101526.0,0.393,G,0.4920000000000001,-18.191,0.938,82.007,0.485,False,0
No Xcuses - Luke Carpenter Remix,EDX,2014.0,0.0112,0.6940000000000001,348754.0,0.884,C,0.0658,-3.989,0.0484,128.029,0.377,False,0
"Die eisblaue Spur - Island-Krimi, Kapitel 8",Yrsa Sigurðardóttir,2010.0,0.544,0.625,182646.0,0.155,D#/Eb,0.154,-19.79,0.965,79.638,0.257,False,0
"Sonate en trio in E Minor, QV 2: 20: I. Allegro ma non tanto",Johann Joachim Quantz,2012.0,0.852,0.349,192052.0,0.132,D#/Eb,0.129,-21.36,0.0502,131.852,0.588,False,0
Bet Mi Money,Vybz Kartel,2016.0,0.609,0.561,169017.0,0.6759999999999999,A,0.0893,-6.28,0.0965,119.791,0.502,False,0
"Teil 35 - Die alten Fälle (Reloaded), Fall 4: Die fünf Orangenkerne",Sherlock Holmes,2014.0,0.685,0.575,94294.0,0.813,G#/Ab,0.295,-13.46,0.944,77.485,0.416,False,0
Spaceship - UK Edit,Benny Benassi,2010.0,0.0981,0.6759999999999999,184154.0,0.911,A,0.0891,-2.205,0.0877,129.95,0.672,False,0
"Anne of Green Gables - Anne of Green Gables 1, Chapter 7",L.M. Montgomery,2016.0,0.5670000000000001,0.723,165681.0,0.287,C,0.157,-14.079,0.935,112.493,0.36,False,0
Ritmo Español,David Garrett,2015.0,0.0159,0.348,176160.0,0.61,G#/Ab,0.216,-8.482000000000001,0.0682,144.519,0.166,False,0
Got A Woman,Eagles Of Death Metal,2015.0,0.00138,0.513,122200.0,0.99,A#/Bb,0.165,-4.265,0.118,112.022,0.179,False,0
Feather Theme - From Forrest Gump,Alan Silvestri,2012.0,0.988,0.556,381672.0,0.106,D,0.0633,-19.416,0.0427,121.829,0.36,False,0
The Virus Invasion,DJ 3rr0rn0153,2010.0,0.0015,0.662,237004.0,0.95,D,0.106,-12.803,0.037,140.01,0.5479999999999999,False,0
Мечта,Anna Semenovich,2015.0,0.0279,0.606,178500.0,0.907,C,0.4,-3.164,0.034,159.89700000000005,0.966,False,0
"Folge 1: ...und das Rätsel um Mary Ann Bliss, Teil 11",Die Detektive XY,2017.0,0.872,0.67,215093.0,0.438,D,0.21,-16.468,0.856,130.81,0.662,False,0
True to Hip-Hop (Remix) - Aim Remix,Aim,2014.0,0.0101,0.521,251854.0,0.867,G,0.191,-6.648,0.249,169.817,0.513,False,0
"Symphony No.81 in G Major, Hob.I:81 - Edited H.C. Robbins Landon: 1. Vivace",Franz Joseph Haydn,2016.0,0.945,0.285,566911.0,0.103,B,0.259,-18.036,0.0431,155.511,0.102,False,0
Hearts,L.S.G.,2017.0,0.00879,0.55,462630.0,0.918,F#/Gb,0.103,-9.274,0.0373,138.85299999999998,0.205,False,0
"Ikaw Lang Ang Mamahalin - From ""La Luna Sangre""",KZ Tandingan,2017.0,0.845,0.268,209711.0,0.515,A#/Bb,0.103,-9.647,0.0496,84.7,0.0658,False,0
Surface Tension,Rq,2012.0,0.6759999999999999,0.336,257391.0,0.625,C,0.0694,-13.225,0.0497,138.018,0.112,False,0
Ycuandoseraeldia,Searez Kien Fue,2018.0,0.0965,0.47,244741.0,0.7929999999999999,A#/Bb,0.528,-4.627,0.505,84.09,0.363,False,0
Mad over You Mashup,Nana Fofie,2017.0,0.523,0.735,201066.0,0.26,F,0.106,-17.055,0.166,105.072,0.232,False,0
Know Who You Are,Auli'i Cravalho,2016.0,0.948,0.262,72628.0,0.134,B,0.101,-20.283,0.035,124.482,0.103,False,0
"Violin Sonata in D Minor, Op. 1, No. 1, HWV 359a: Violinsonate d-moll, Op. 1, Nr. 1, HWV 359a: IV. Allegro",George Frideric Handel,2013.0,0.813,0.546,156053.0,0.258,C#/Db,0.0667,-17.028,0.0519,100.701,0.955,False,0
Kansas City,NQB,2012.0,0.0188,0.5,177867.0,0.9,C,0.42,-6.809,0.036,133.875,0.782,False,0
Es Injusto (Versión Banda),Código FN,2017.0,0.0839,0.6629999999999999,167812.0,0.509,A,0.0952,-7.436,0.0296,134.881,0.7909999999999999,False,0
Dark Soul - Jamie Drummond Remix,Xgenic,2015.0,7.35e-05,0.4320000000000001,517714.0,0.985,D#/Eb,0.1689999999999999,-7.165,0.0502,139.984,0.5489999999999999,False,0
Mantra Du Jour,Sound of Dreams,2012.0,0.8079999999999999,0.292,229093.0,0.644,C,0.369,-10.621,0.0759,110.134,0.0396,False,0
Consume Me,Xylaroo,2016.0,0.406,0.503,357660.0,0.5920000000000001,C#/Db,0.0658,-7.3370000000000015,0.0312,96.309,0.352,False,0
CQLV,Collectif Hall 9,2014.0,0.0917,0.73,281313.0,0.62,C,0.113,-4.7,0.352,69.863,0.442,False,0
Ztratil jsem srdce,Oldřich Kovář,2012.0,0.915,0.431,169743.0,0.271,B,0.544,-16.142,0.0415,124.168,0.5579999999999999,False,0
Gypsy Tart,Jam Baxter,2017.0,0.015,0.602,315186.0,0.843,E,0.193,-7.144,0.288,137.74200000000002,0.505,False,0
YW-015 - Short Mix,山本寛,2015.0,0.0,0.0,7960.0,0.000296,E,0.0,-14.277,0.0,0.0,0.0,False,0
Schatten der Vergangenheit (Teil 2),Lassie,2017.0,0.443,0.653,138014.0,0.573,D,0.248,-14.451,0.955,139.685,0.721,False,0
Ma Loca,DTF,2016.0,0.6890000000000001,0.6659999999999999,212707.0,0.747,G#/Ab,0.101,-7.267,0.243,130.054,0.5820000000000001,False,0
Choppin' Blades,Mike WiLL Made-It,2015.0,0.00183,0.976,275160.0,0.629,C#/Db,0.0868,-5.796,0.0514,115.033,0.126,False,0
MIKO,Phantom Sage,2016.0,0.0299,0.466,318000.0,0.877,C,0.132,-3.12,0.0408,159.968,0.178,False,0
XY,Maxat,2014.0,0.31,0.586,200654.0,0.6679999999999999,E,0.132,-10.622,0.284,128.431,0.6609999999999999,False,0
Samo da si tu,Jovan Perisic,2017.0,0.26,0.603,207187.0,0.982,F,0.331,-2.206,0.183,160.002,0.845,False,0
Enough Echo,MaRLo,2018.0,0.0309,0.321,217939.0,0.949,C#/Db,0.942,-3.689,0.0737,134.947,0.284,False,0
Like,B3nte,2015.0,0.158,0.861,146265.0,0.8059999999999999,G#/Ab,0.0781,-7.005,0.155,127.958,0.116,False,0
Aots2m #2,Hiroyuki Sawano,2017.0,0.0621,0.253,129333.0,0.292,A,0.116,-16.982,0.039,123.48,0.034,False,0
"Kapitel 6.2 - Ein Fall für Kwiatkowski. Tore, Tricks und schräge Typen",Jürgen Banscherus,2011.0,0.701,0.708,98100.0,0.206,D,0.235,-16.41,0.918,128.779,0.6679999999999999,False,0
As Leben is eh scho schwer,3 Männer nur mit Gitarre,2014.0,0.755,0.718,150827.0,0.384,D,0.146,-8.868,0.0537,138.841,0.855,False,0
Kapitel 5 - Folge 3: Jetzt reicht's!,Gregs Tagebuch,2017.0,0.555,0.736,180294.0,0.446,F#/Gb,0.272,-9.6,0.946,83.77600000000002,0.609,False,0
D.A.N.C.E. (WWW),Justice,2018.0,0.0613,0.58,196198.0,0.782,F#/Gb,0.672,-5.9510000000000005,0.0323,115.002,0.274,False,0
Ta mbajme gjalle amanetin,Marjola,2012.0,0.8,0.61,334948.0,0.6829999999999999,A#/Bb,0.0716,-3.042,0.0323,120.09,0.523,False,0
Xenophobia,"My City, My Secret",2014.0,0.000367,0.483,224500.0,0.971,A#/Bb,0.143,-4.468999999999999,0.0916,105.011,0.23,False,0
Try - Kung Fu Panda 3 Official Theme Song,Patrick Brasca,2016.0,0.11,0.64,240320.0,0.816,C#/Db,0.101,-6.263999999999999,0.0299,105.984,0.58,False,0
Think Twice,The Four Owls,2015.0,0.109,0.6859999999999999,277960.0,0.7559999999999999,F,0.329,-6.763999999999999,0.34,95.203,0.698,False,0
Der Ohrwurm,Florian Voigt und das Zwergenorchester,2016.0,0.171,0.8059999999999999,144760.0,0.711,C,0.103,-5.664,0.0402,93.907,0.883,False,0
Laurdage E Finast,Crashville,2011.0,0.327,0.467,173493.0,0.952,A,0.122,-4.294,0.0727,177.053,0.933,False,0
I Don't Mind,Jhony Rx,2018.0,0.181,0.628,224894.0,0.41,E,0.139,-10.181,0.0788,99.099,0.0498,False,0
Thunderstorm: Yoga Rain,Thunderstorms HD,2017.0,0.00717,0.144,113313.0,0.998,C#/Db,0.509,-15.114,0.0599,84.44,0.00399,False,0
Pauza,Kali,2012.0,0.15,0.768,230240.0,0.58,C,0.139,-7.461,0.0499,89.99,0.397,False,0
Nènè Bobo,DTM,2017.0,0.545,0.738,250568.0,0.897,G,0.129,-4.581,0.0335,115.993,0.889,False,0
Das Lied der schönen Helena (Pythagoras) - Remastered 1996,Ireen Sheer,2014.0,0.565,0.514,215040.0,0.8190000000000001,A#/Bb,0.51,-6.45,0.0375,161.582,0.929,False,0
Body Language (feat. Elend & Lmx),Renas Miran,2014.0,0.00454,0.679,223714.0,0.8420000000000001,B,0.113,-4.235,0.0792,132.009,0.691,False,0
Hip Hop Scratch FX 14,Money Making Def,2018.0,0.69,0.6659999999999999,31914.0,0.27,B,0.519,-4.052,0.479,152.874,0.6709999999999999,False,0
Mr. Brightside,WVNDER,2018.0,7.200000000000001e-06,0.336,223004.0,0.882,D,0.108,-3.589,0.0473,148.014,0.27,False,0
Der Waldbrand (Teil 2),Lassie,2015.0,0.324,0.5479999999999999,288240.0,0.738,C#/Db,0.489,-12.48,0.927,82.804,0.36,False,0
Закрываю глаза (feat. Джоззи),HammAli & Navai,2017.0,0.429,0.821,340080.0,0.4970000000000001,A#/Bb,0.148,-8.754,0.268,124.981,0.472,False,0
Q.C. Blues,王晨淮,2018.0,0.769,0.496,399117.0,0.257,G#/Ab,0.0995,-12.018,0.035,140.018,0.438,False,0
Bailar Nada Más - Dance Again - Spanish Version,Jennifer Lopez,2012.0,0.0444,0.8109999999999999,240920.0,0.831,B,0.0772,-6.2170000000000005,0.0556,127.993,0.476,False,0
Closer (MAX Solo),TVXQ!,2018.0,0.579,0.632,188173.0,0.5479999999999999,F,0.118,-6.319,0.0517,123.866,0.51,False,0
Die Tornado-Jäger (Teil 2),Lassie,2016.0,0.444,0.55,476854.0,0.787,B,0.369,-13.02,0.927,105.556,0.3670000000000001,False,0
"Der Herbst, der Herbst ist da",Tara G. Zintel,2013.0,0.354,0.67,104409.0,0.473,D,0.135,-4.697,0.0279,114.978,0.74,False,0
Buyaka (feat. Stush),Falcons,2017.0,0.0122,0.825,197548.0,0.887,B,0.335,-2.911,0.235,144.954,0.784,False,0
Gimme! Gimme! Gimme! (A Man After Midnight),Tiny Uke Orchestra,2018.0,0.991,0.607,183067.0,0.343,D,0.094,-10.901,0.0635,110.373,0.866,False,0
