track,artist,year,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,valence,charted,weeks-on-board
"Ooh Wee (feat. Ghostface Killah, Nate Dogg, Trife & Saigon)(Radio Edit)",Mark Ronson,2003.0,0.0193,0.73,168787.0,0.956,E,0.281,-3.307,0.0686,105.047,0.8340000000000001,False,0
im Fackelschein,Equilibrium,2008.0,0.971,0.324,118627.0,0.215,A,0.18,-18.55,0.0354,48.054,0.0396,False,0
When My Season Comes,T.D. Jakes,2006.0,0.0558,0.669,332267.0,0.949,C#/Db,0.38,-4.907,0.143,107.003,0.562,False,0
Don't Look Back,KK,2008.0,0.948,0.449,308686.0,0.18,G,0.119,-12.764,0.033,177.732,0.371,False,0
All About Her,New Found Glory,2000.0,0.0001,0.585,183000.0,0.994,E,0.387,-4.769,0.0819999999999999,108.809,0.345,False,0
Ayúdame a olvidar,Pesado,2001.0,0.215,0.743,170427.0,0.536,C,0.0965,-11.004,0.0417,92.648,0.942,False,0
Iron Head,Rob Zombie,2001.0,7.92e-05,0.527,251200.0,0.924,F#/Gb,0.705,-4.503,0.0367,102.037,0.324,False,0
Good Shabbos,Yosef Moshe Kahana,2005.0,0.302,0.471,375432.0,0.52,D,0.148,-6.489,0.0281,129.931,0.343,False,0
L'homme au cœur blessé,Georges Moustaki,2004.0,0.665,0.443,230093.0,0.173,D,0.142,-17.121,0.0329,124.84,0.281,False,0
Nwa Baby,Flavour,2005.0,0.449,0.746,307958.0,0.6729999999999999,A,0.088,-9.041,0.0493,95.356,0.912,False,0
Nemam gdje,Sergej Ćetković,2005.0,0.525,0.564,230000.0,0.5479999999999999,A,0.121,-8.796,0.0348,137.99,0.355,False,0
Me ven doren përmbi dorë,Bik Ndoja,2002.0,0.629,0.368,166947.0,0.408,E,0.349,-10.553,0.0354,89.07,0.746,False,0
Hier kommt Alex - Live,Bärg-Wörze Udligenswil,2009.0,0.288,0.472,215440.0,0.903,G,0.916,-2.72,0.0842,137.59799999999998,0.314,False,0
Leiðin okkar allra,Hjálmar,2007.0,0.64,0.5529999999999999,302107.0,0.339,E,0.111,-11.261,0.0318,135.898,0.1689999999999999,False,0
I Remember When,Alexis Ffrench,2009.0,0.994,0.351,160602.0,0.146,A#/Bb,0.0786,-21.45,0.0495,112.304,0.166,False,0
A River That Flows Forever,Danny Glover,2000.0,0.608,0.506,140373.0,0.413,F#/Gb,0.214,-10.166,0.263,98.72,0.581,False,0
Verum Aeternus,VNV Nation,2009.0,0.000145,0.5720000000000001,365400.0,0.7809999999999999,C,0.11,-6.98,0.0315,132.011,0.189,False,0
Ych Madinina (feat. Yeahman C ),MALIII,2007.0,0.0351,0.556,178827.0,0.898,G,0.688,-4.964,0.37,151.185,0.8220000000000001,False,0
Jenny Wren,Paul McCartney,2005.0,0.82,0.455,226720.0,0.229,F,0.14,-12.297,0.0296,173.10299999999995,0.3670000000000001,False,0
TQM,MikeeUSA,2007.0,0.927,0.304,202360.0,0.0596,E,0.104,-22.794,0.0354,63.227,0.0319,False,0
The Things We Owe,Takida,2009.0,0.00489,0.216,223920.0,0.589,G,0.136,-5.627000000000002,0.0303,66.509,0.0861,False,0
Umthandazo,Mqondiso,2007.0,0.2,0.506,302800.0,0.674,G#/Ab,0.179,-6.893,0.0701,139.976,0.711,False,0
Matti Ja Teppo,Jope Ruonansuu,2009.0,0.0163,0.728,216787.0,0.6940000000000001,E,0.0813,-6.457999999999998,0.0359,128.16899999999998,0.6579999999999999,False,0
The Bleeding (Acoustic),Five Finger Death Punch,2007.0,0.122,0.5920000000000001,217800.0,0.655,C,0.261,-5.895,0.0359,159.994,0.247,False,0
V princeznach,Wanastowi Vjecy,2007.0,0.0164,0.457,311800.0,0.826,B,0.0986,-5.3870000000000005,0.029,77.188,0.388,False,0
Riot Squad,The NewMatics,2003.0,0.605,0.472,210827.0,0.522,D,0.12,-13.689,0.0743,142.829,0.7809999999999999,False,0
Htela sam ti prići,Jana,2002.0,0.373,0.758,202987.0,0.931,E,0.0698,-4.045,0.126,100.145,0.919,False,0
"Folge 3: Die Dinos kommen, Kapitel 2",Die Playmos,2007.0,0.483,0.705,95573.0,0.297,B,0.293,-13.678,0.929,97.761,0.465,False,0
Tgif,The Secret Handshake,2009.0,0.0936,0.703,184080.0,0.667,C,0.314,-6.5710000000000015,0.0342,117.922,0.846,False,0
Traverse de RN85 (Dubmood vs Facteur Remix),Dubmood,2008.0,0.00697,0.779,309865.0,0.79,A#/Bb,0.484,-5.29,0.186,128.628,0.355,False,0
Donner über der Wüste - Teil 16,Team Xtreme,2008.0,0.461,0.5429999999999999,183507.0,0.605,A,0.368,-13.164,0.883,79.65899999999998,0.265,False,0
Free My Mind,MJ Cole,2000.0,0.618,0.821,280693.0,0.494,B,0.26,-10.24,0.0849,130.953,0.77,False,0
Q's Delight,Bob Lark/phil Woods Quintet,2006.0,0.753,0.642,308307.0,0.309,G#/Ab,0.119,-10.595999999999998,0.0435,82.412,0.47,False,0
Evidence Of Autumn,Yngve Guddal,2009.0,0.986,0.39,322640.0,0.0727,G#/Ab,0.0774,-23.736,0.0505,102.778,0.034,False,0
Monsters In The Parasol - Live At Brixton Academy / 2005,Queens of the Stone Age,2005.0,0.0407,0.275,279667.0,0.911,C,0.419,-5.74,0.148,155.939,0.203,False,0
D.P.G. Killa,BG Knoccout & Gangsta Dresta,2000.0,0.00779,0.727,234167.0,0.7140000000000001,E,0.316,-7.075,0.274,81.532,0.6659999999999999,False,0
"Ni Tan Lais, Ni Tan Flai",Adickta Sinfonía,2008.0,0.0807,0.595,225409.0,0.759,C#/Db,0.665,-5.686,0.246,94.549,0.84,False,0
