track,artist,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Never Ever,All Saints,0.738,0.541,C#/Db,-5.485,0.0311,0.559,0.0492,0.309,134.187,387573,1998,19,True
Baby-Baby-Baby,TLC,0.679,0.597,B,-8.601,0.0439,0.0913,0.0487,0.9,184.174,315040,1993,33,True
I Missed The Bus,Kris Kross,0.811,0.634,E,-10.408,0.0714,0.00469,0.224,0.273,107.915,179160,1993,15,True
The Comfort Zone,Vanessa Williams,0.528,0.234,D#/Eb,-15.784,0.0283,0.641,0.183,0.191,95.911,218733,1992,12,True
Black Cat,Janet Jackson,0.705,0.913,E,-7.253,0.0484,0.103,0.216,0.665,114.959,290573,1990,16,True
I'll Be Loving You,Collage,0.62,0.868,B,-6.805,0.0528,0.00591,0.248,0.339,133.97,228040,1994,20,True
No Fool No More,En Vogue,0.53,0.679,D,-5.987,0.0523,0.444,0.0728,0.338,76.045,257573,1998,8,True
Universal Heart-Beat,Juliana Hatfield,0.534,0.814,D,-7.978,0.0717,0.0359,0.721,0.686,127.967,205907,1995,6,True
Connected,Stereo MC's,0.647,0.798,C#/Db,-12.144,0.0365,0.0498,0.0722,0.706,100.631,314133,1993,20,True
Every Heartbeat,Amy Grant,0.648,0.89,D,-3.834,0.0429,0.288,0.119,0.808,126.956,213733,1991,19,True
Reach For The Sky,Firehouse,0.562,0.891,C#/Db,-8.283,0.0361,1.21e-05,0.0858,0.524,132.569,286733,1992,5,True
On Point,House Of Pain,0.814,0.537,C#/Db,-10.198,0.0691,0.0464,0.0928,0.556,104.21,228867,1994,5,True
To Be With You,Mr. Big,0.688,0.375,E,-9.601,0.0535,0.286,0.133,0.45,83.635,210480,1992,24,True
A Promise I Make,Dakota Moon,0.711,0.481,C,-8.135,0.0242,0.273,0.0952,0.392,90.118,267280,1998,13,True
Watch For The Hook,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor",0.561,0.72,C#/Db,-4.854,0.355,0.0211,0.353,0.518,86.953,271600,1999,10,True
Powerful Thing,Trisha Yearwood,0.614,0.868,D,-3.97,0.0459,0.413,0.0366,0.956,147.978,176920,1999,12,True
I Luv U Baby,The Original,0.69,0.838,G#/Ab,-6.392,0.0329,0.106,0.267,0.902,126.821,213000,1997,16,True
If I Ruled The World,Nas,0.879,0.564,A#/Bb,-7.682,0.247,0.0474,0.0519,0.523,93.908,282373,1996,20,True
Say It,Voices Of Theory,0.381,0.415,C,-10.298,0.0691,0.675,0.0795,0.257,61.908,269467,1998,31,True
