track,artist,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Ruff Ryders' Anthem,DMX,0.88,0.577,A#/Bb,-8.093,0.302,0.0564,0.201,0.74,90.991,214440,2021,5,True
Numb,Linkin Park,0.496,0.863,A,-4.153,0.0381,0.0046,0.639,0.243,110.018,185587,2017,33,True
Falling Down,Selena Gomez & The Scene,0.58,0.898,C,-3.517,0.0832,0.000146,0.359,0.805,140.016,184680,2010,7,True
Only Time,Enya,0.418,0.249,D#/Eb,-13.744,0.0301,0.841,0.112,0.213,82.803,218547,2013,32,True
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat,0.63,0.605,C,-8.951,0.0414,0.484,0.298,0.266,115.277,295293,2011,3,True
Party Up (Up In Here),DMX,0.736,0.834,C#/Db,-3.052,0.0969,0.077,0.407,0.234,100.979,297040,2021,22,True
In The End,Linkin Park,0.556,0.864,D#/Eb,-5.87,0.0584,0.00958,0.209,0.4,105.143,216880,2017,39,True
Funhouse,P!nk,0.792,0.865,B,-3.04,0.0337,0.00503,0.0375,0.833,103.935,204627,2010,13,True
Don't Stop Believin',Glee Cast,0.473,0.604,G,-4.034,0.0337,0.038,0.103,0.271,123.857,232000,2010,7,True
Love Me,Justin Bieber,0.571,0.873,C,-3.382,0.0997,0.0807,0.361,0.613,139.691,229467,2010,4,True
Wild Things,Alessia Cara,0.741,0.626,C#/Db,-4.826,0.0886,0.02,0.0828,0.706,108.029,188493,2016,20,True
Love Someone,Lukas Graham,0.55,0.415,A,-6.557,0.052,0.161,0.108,0.274,172.065,205463,2019,10,True
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,0.807,0.887,C#/Db,-3.892,0.275,0.00381,0.391,0.78,160.517,144244,2017,21,True
Here's To Never Growing Up,Avril Lavigne,0.482,0.873,C,-3.145,0.0853,0.0111,0.409,0.737,165.084,214320,2013,15,True
Helluva Night,Ludacris,0.736,0.522,D,-8.02,0.116,0.0299,0.108,0.369,97.547,200387,2013,1,True
My Last,Big Sean Featuring Chris Brown,0.387,0.773,G#/Ab,-5.685,0.17,0.098,0.209,0.368,78.629,254120,2011,21,True
Break Up In The End,Cole Swindell,0.507,0.372,C#/Db,-8.433,0.0303,0.481,0.271,0.257,86.422,199693,2018,17,True
Crawling Back To You,Daughtry,0.438,0.919,C,-2.91,0.0495,0.00674,0.158,0.195,151.026,225813,2012,10,True
Hotline Bling,Drake,0.891,0.625,D,-7.861,0.0558,0.00261,0.0504,0.548,134.967,267067,2016,36,True
Cut Her Off,KCamp Featuring 2 Chainz,0.769,0.611,G#/Ab,-2.85,0.039,0.098,0.221,0.0901,144.037,243333,2014,20,True
Beautiful People,Chris Brown Featuring Benny Benassi,0.417,0.806,F,-5.339,0.16,0.0703,0.0841,0.545,127.887,226773,2011,4,True
Survival,Eminem,0.459,0.899,D,-2.978,0.21,0.0038,0.126,0.437,176.384,272417,2014,14,True
Faster,Matt Nathanson,0.742,0.853,A,-4.147,0.0393,0.00743,0.332,0.95,107.03,208280,2011,12,True
Sugar,Robin Schulz Featuring Francesco Yates,0.636,0.815,F,-5.098,0.0581,0.0185,0.163,0.636,123.063,219043,2016,15,True
Love Don't Run,Steve Holy,0.512,0.532,C,-3.28,0.0301,0.475,0.0993,0.256,147.473,219267,2011,7,True
