track,artist,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Dodji sto pre,Vesna Zmijanac,0.67,0.423,E,-16.205,0.0513,0.361,0.122,0.8490000000000001,137.827,180881.0,1990.0,0,False
改變所有的錯,Harlem Yu,0.433,0.5489999999999999,A,-7.074,0.0279,0.58,0.153,0.298,145.52,275120.0,1990.0,0,False
Being Boring - 2001 Remaster,Pet Shop Boys,0.634,0.799,G#/Ab,-9.541,0.0398,0.0689,0.313,0.27,119.776,410173.0,1990.0,0,False
"E Draga, Draga",Zdravko Colic,0.865,0.281,C,-15.618,0.0381,0.324,0.0472,0.629,104.555,273311.0,1990.0,0,False
Handel : Concerto grosso in F major Op.3 No.4a : II Andante,George Frideric Handel,0.356,0.0828,E,-19.06900000000001,0.0372,0.973,0.107,0.375,104.302,131480.0,1990.0,0,False
Lily Was Here (feat. Candy Dulfer) - DNA Remix,Dave Stewart,0.605,0.695,E,-14.527,0.0383,0.0343,0.0856,0.55,107.973,267160.0,1990.0,0,False
"Poulenc: Piano Concerto, FP 146: I. Allegretto",Francis Poulenc,0.382,0.0962,G,-24.929,0.0362,0.986,0.322,0.0713,129.726,477360.0,1990.0,0,False
Gonna Make You Sweat (Everybody Dance Now) - Clivilless & Cole DJ's Choice Mix,C+C Music Factory (Presenting Freedom Williams),0.8059999999999999,0.936,F#/Gb,-5.988,0.0624,0.00199,0.0935,0.773,113.229,299933.0,1990.0,0,False
I Smelt Roses (In the Underground),Fischer-Z,0.655,0.484,D,-13.158,0.0286,0.00197,0.148,0.873,126.236,232893.0,1990.0,0,False
L'heure du jazz,Patricia Kaas,0.629,0.136,C#/Db,-23.847,0.074,0.449,0.0789,0.146,110.721,237760.0,1990.0,0,False
"Symphony No.5 In B Flat, D.485: 1. Allegro",Franz Schubert,0.366,0.156,A#/Bb,-17.041,0.0318,0.97,0.2,0.265,107.937,347427.0,1990.0,0,False
Sto Života,Vesna Zmijanac,0.659,0.627,F,-8.23,0.0567,0.502,0.101,0.393,110.037,274223.0,1990.0,0,False
Svatovi,Vesna Zmijanac,0.152,0.539,D,-7.457999999999998,0.0439,0.325,0.0799,0.231,200.069,231028.0,1990.0,0,False
Got You by the Balls,AC/DC,0.622,0.757,A,-3.449,0.0246,0.00212,0.092,0.825,96.966,270240.0,1990.0,0,False
Hajde sreco moja,Šaban Šaulić,0.489,0.8370000000000001,A#/Bb,-6.345,0.0839,0.391,0.491,0.913,141.671,255573.0,1990.0,0,False
Medley: Greatest Lover / Trojan Horse / Yes I Do / Casanova / U.O. Me,Luv',0.688,0.772,E,-11.681,0.047,0.114,0.583,0.8270000000000001,121.983,431507.0,1990.0,0,False
Freshly Squeezed - Instrumental,Angelo Badalamenti,0.7140000000000001,0.182,F,-21.37,0.0743,0.504,0.134,0.396,79.945,228800.0,1990.0,0,False
Lua de Cristal,Xuxa,0.578,0.8240000000000001,F#/Gb,-10.045,0.0417,0.389,0.144,0.6709999999999999,150.428,260387.0,1990.0,0,False
Quiero Pan,Xuxa,0.691,0.622,D,-10.722,0.042,0.586,0.399,0.903,109.757,114320.0,1990.0,0,False
Uma História De Ifá (Ejigbô),Margareth Menezes,0.6990000000000001,0.752,D,-10.749,0.0483,0.239,0.1369999999999999,0.928,99.651,255040.0,1990.0,0,False
ZCMI - Live,D-A-D,0.38,0.931,D,-9.132,0.0498,0.0008849999999999,0.968,0.482,104.94,166867.0,1990.0,0,False
I'll Be Waiting,Talisman,0.495,0.853,F#/Gb,-2.394,0.0442,0.00361,0.101,0.703,129.79399999999998,177427.0,1990.0,0,False
