track,artist,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,0.816,0.775,B,-3.323,0.234,0.16,0.0543,0.527,93.431,270587.0,2000.0,5,True
Lucky Man,Montgomery Gentry,0.578,0.471,E,-7.27,0.0289,0.368,0.159,0.532,133.061,196707.0,2007.0,17,True
On The Hotline,Pretty Ricky,0.704,0.854,A#/Bb,-5.477,0.183,0.0185,0.148,0.688,92.988,242587.0,2007.0,19,True
I Got A Feelin',Billy Currington,0.63,0.764,D,-4.353,0.0275,0.363,0.125,0.631,112.098,193760.0,2004.0,16,True
Where I Come From,Alan Jackson,0.726,0.631,B,-8.136,0.0334,0.22,0.193,0.746,124.711,239240.0,2002.0,20,True
Nothin' To Die For,Tim McGraw,0.481,0.786,A#/Bb,-5.654,0.0288,0.0538,0.0759,0.389,153.105,253640.0,2009.0,11,True
F.U.R.B. (F U Right Back),Frankee,0.787,0.632,G#/Ab,-3.487,0.137,0.103,0.388,0.612,141.026,198173.0,2004.0,7,True
Amarillo Sky,Jason Aldean,0.491,0.776,D,-3.887,0.0393,0.314,0.146,0.428,154.988,202547.0,2007.0,20,True
Six-Pack Summer,Phil Vassar,0.725,0.733,C,-6.66,0.0242,0.508,0.173,0.843,100.311,219827.0,2001.0,10,True
Daddy Won't Sell The Farm,Montgomery Gentry,0.708,0.728,G,-7.039,0.0298,0.011,0.0556,0.704,119.881,258640.0,2000.0,6,True
Move Along,The All-American Rejects,0.518,0.916,D#/Eb,-3.858,0.0454,0.000148,0.291,0.646,109.864,238880.0,2006.0,39,True
It's So Hard,Big Punisher Featuring Donell Jones,0.9,0.593,A#/Bb,-6.629,0.333,0.0554,0.0304,0.633,92.946,172933.0,2000.0,15,True
Make It Rain,Fat Joe Featuring Lil Wayne,0.744,0.697,B,-5.063,0.197,0.0106,0.0842,0.767,149.28,247413.0,2007.0,24,True
He Gets That From Me,Reba McEntire,0.643,0.391,A#/Bb,-10.09,0.0296,0.622,0.11,0.418,143.786,219933.0,2005.0,12,True
Carlene,Phil Vassar,0.587,0.88,E,-5.725,0.0324,0.0784,0.182,0.778,129.222,246240.0,2000.0,20,True
Someday,Sugar Ray,0.743,0.67,C#/Db,-4.547,0.0293,0.0108,0.22,0.934,110.832,243333.0,2000.0,32,True
7 Days,Craig David,0.659,0.812,E,-7.499,0.0487,0.23,0.0951,0.888,83.013,235133.0,2002.0,20,True
Rock Your Body,Justin Timberlake,0.891,0.714,E,-6.055,0.14,0.202,0.0521,0.818,100.972,267267.0,2003.0,22,True
Bed,J. Holiday,0.684,0.606,F,-7.268,0.0504,0.17,0.058,0.723,127.901,275107.0,2008.0,23,True
Scars,Papa Roach,0.471,0.936,B,-3.354,0.0448,0.0783,0.171,0.45,89.881,208186.0,2005.0,38,True
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,0.781,0.746,G#/Ab,-2.686,0.17,0.364,0.098,0.786,89.43,229800.0,2002.0,27,True
Sound Of Madness,Shinedown,0.328,0.939,D,-1.654,0.0423,4.93e-05,0.337,0.329,185.971,233987.0,2009.0,9,True
Here I Am,Rick Ross Featuring Nelly & Avery Storm,0.746,0.717,A#/Bb,-5.788,0.127,0.189,0.0704,0.475,109.753,209547.0,2008.0,14,True
Crush,David Archuleta,0.57,0.664,C,-4.718,0.0322,0.00836,0.0719,0.487,162.084,213520.0,2009.0,23,True
Some Beach,Blake Shelton,0.787,0.765,C,-6.331,0.0265,0.231,0.323,0.964,115.979,204827.0,2005.0,20,True
When You Lie Next To Me,Kellie Coffey,0.312,0.404,F,-10.014,0.0293,0.184,0.306,0.115,138.425,239827.0,2002.0,18,True
"1, 2, 3, 4",Plain White T's,0.458,0.55,D,-7.092,0.0262,0.566,0.108,0.56,90.56,198360.0,2009.0,20,True
